stop_id,latitude,stop_name,longitude,ticketzone,routeussp
19894,-37.8243,Chatham Railway Station (Surrey Hills),145.088648,"1,2",Belgrave
19895,-37.824148,Surrey Hills Railway Station (Surrey Hills),145.098775,"1,2",Belgrave
19896,-37.819427,Mont Albert Railway Station (Mont Albert),145.10553,"1,2",Belgrave
19897,-37.82078,Laburnum Railway Station (Blackburn),145.140703,2,Belgrave
19898,-37.820071,Blackburn Railway Station (Blackburn),145.150014,2,Belgrave
19899,-37.820428,Nunawading Railway Station (Nunawading),145.175237,2,Belgrave
19900,-37.818087,Mitcham Railway Station (Mitcham),145.192892,2,Belgrave
19901,-37.818835,Heatherdale Railway Station (Ringwood),145.21355,2,Belgrave
19902,-37.81566,Ringwood Railway Station (Ringwood),145.229474,2,Belgrave
19974,-37.788657,Clifton Hill Railway Station (Clifton Hill),144.995417,1,Hurstbridge
19975,-37.799158,Victoria Park Railway Station (Abbotsford),144.994451,1,Hurstbridge
19976,-37.804526,Collingwood Railway Station (Abbotsford),144.99375,1,Hurstbridge
19977,-37.810398,North Richmond Railway Station (Richmond),144.9925,1,Hurstbridge
19978,-37.814949,West Richmond Railway Station (Richmond),144.991423,1,Hurstbridge
19979,-37.816527,Jolimont-MCG Railway Station (East Melbourne),144.984098,1,Hurstbridge
19888,-37.989968,Dandenong Railway Station (Dandenong),145.209725,2,Cranbourne
19889,-37.978255,Yarraman Railway Station (Noble Park),145.1916,2,Cranbourne
19890,-37.966628,Noble Park Railway Station (Noble Park),145.176325,2,Cranbourne
19891,-37.956505,Sandown Park Railway Station (Springvale),145.162826,2,Cranbourne
19913,-37.949509,Springvale Railway Station (Springvale),145.153452,2,Cranbourne
19914,-37.938491,Westall Railway Station (Clayton South),145.138833,2,Cranbourne
19915,-37.924683,Clayton Railway Station (Clayton),145.120534,2,Cranbourne
19916,-37.911017,Huntingdale Railway Station (Oakleigh),145.102364,"1,2",Cranbourne
19917,-37.900372,Oakleigh Railway Station (Oakleigh),145.088308,"1,2",Cranbourne
19918,-37.894881,Hughesdale Railway Station (Hughesdale),145.077635,"1,2",Cranbourne
19919,-37.890198,Murrumbeena Railway Station (Murrumbeena),145.067375,1,Cranbourne
19920,-37.886241,Carnegie Railway Station (Carnegie),145.058575,1,Cranbourne
19855,-38.14299,Frankston Railway Station (Frankston),145.126162,2,Frankston
20025,-37.801083,Footscray Railway Station (Footscray),144.903199,1,Williamstown
20025,-37.801083,Footscray Railway Station (Footscray),144.903199,1,Sunbury
19994,-37.842718,Newport Railway Station (Newport),144.8836,1,Werribee
19995,-37.830639,Spotswood Railway Station (Spotswood),144.885933,1,Werribee
19996,-37.81585,Yarraville Railway Station (Yarraville),144.889934,1,Werribee
19997,-37.809005,Seddon Railway Station (Seddon),144.895672,1,Werribee
20026,-37.799531,South Kensington Railway Station (Kensington),144.925469,1,Werribee
