Business address,Industry (ANZSIC4) description,Industry Category,Seating type,Trading name,Latitude,Longitude
"Part Ground , 440 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,The Mug House,-37.817032924,144.959761676
"Shop 4, Ground , 440 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Sunny Boy Cafe,-37.817032924,144.959761676
451 Collins Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Bagelworks,-37.816799974,144.959997801
"Unit 2, Ground , 422 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,N Lee Bakery,-37.816799974,144.959997801
445 Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Massi,-37.816799974,144.959997801
"Ground , 423 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Shamble Coffee Brewers,-37.816230098,144.960636381
431 Little Collins Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Tengu Sushi,-37.816291103,144.960396400
"LwrGround , 25 Little Collins Street MELBOURNE 3000","Pubs, Taverns and Bars","Pubs, Taverns and Bars",Seats - Indoor,Marrakech Bar,-37.816395712,144.960097299
"Shop 1, Ground , 435 Little Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Little Colin,-37.816395712,144.960097299
"Part Ground , 105 Queen Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Aki Sushi,-37.816154900,144.960811865
"Part Ground , 105 Queen Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Indoor,I Bean,-37.816154900,144.960811865
98-110 William Street MELBOURNE 3000,Other Interest Group Services n.e.c.,Others,Seats - Indoor,The Australian Club,-37.816746355,144.959122885
"Ground , 394 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Bank On Collins,-37.816613083,144.961079388
"Ground , 376 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,The Groove Train,-37.816292911,144.961719455
"Shop 8, 330 Collins Street MELBOURNE 3000",Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Cafenatics Equitable Place,-37.816108751,144.963410694
16 Elizabeth Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,This Side of Paradise,-37.815919207,144.963496019
12 Elizabeth Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Sacred Alley Espresso Bar,-37.815919207,144.963496019
18 Elizabeth Street MELBOURNE 3000,Takeaway Food Services,Takeaway Food Services,Seats - Indoor,Kenny's Bakery Cafe,-37.815822142,144.963450834
30 Little Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Blahnik,-37.815577517,144.963300541
347 Little Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Indoor,Twee's Hut Vietnamese Favourites,-37.815577517,144.963300541
349 Little Collins Street MELBOURNE 3000,Cafes and Restaurants,Cafes and Restaurants,Seats - Outdoor,Souperman,-37.815577517,144.963300541
"Shop 7, 353 Little Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,Thailander,-37.815698280,144.962995311
"Shop 5, 353 Little Collins Street MELBOURNE 3000",Takeaway Food Services,Takeaway Food Services,Seats - Outdoor,11 Inch Pizza,-37.815698280,144.962995311
